# Author: Diyar Erol
tx_cost,total_return,annualized_return,volatility_annual,sharpe_ratio,sortino_ratio,max_drawdown,win_rate,trades_count
0.050000,2.159888,0.998489,19.790502,0.152140,0.145213,-27.923888,24.584104,319
0.100000,-15.562843,-7.563777,19.787583,-0.296279,-0.283796,-36.876562,24.214418,319
0.150000,-30.219889,-15.405161,19.798707,-0.744302,-0.721500,-44.722277,22.920518,319
0.200000,-42.340021,-22.585936,19.823851,-1.190978,-1.164547,-51.597275,21.996303,319
0.250000,-52.361071,-29.161371,19.862961,-1.635373,-1.611071,-57.621112,21.256932,319
0.300000,-60.645527,-35.182142,19.915955,-2.076572,-2.063955,-62.898682,20.332717,319
0.350000,-67.493460,-40.694714,19.982723,-2.513695,-2.517553,-68.093715,19.593346,319
0.400000,-73.153244,-45.741685,20.063126,-2.945904,-2.978807,-73.574985,18.484288,319
0.450000,-77.830431,-50.362108,20.157002,-3.372407,-3.432526,-78.124069,17.929760,319
0.500000,-81.695117,-54.591783,20.264164,-3.792467,-3.895131,-81.892326,16.820702,319
