# Author: Diyar Erol
date,close,high,low,open,volume,apple iphone,macbook,fed_rate,us_cpi,usd_index,macro_sentiment_index
2015-01-02,24.237548828125,24.70531835125916,23.798598610986176,24.694233092060063,212818400,25.0,74.0,0.11,234.747,102.9027,0.045913440534578576
2015-01-05,23.55474090576172,24.0868012739077,23.36852070716593,24.006992134117137,257142000,25.0,74.0,0.11,234.747,103.4976,0.05048206669055855
2015-01-06,23.556957244873047,23.81633609193056,23.19559874156603,23.619030641634858,263188400,25.0,74.0,0.11,234.747,103.2938,0.048916953208311686
2015-01-07,23.88727569580078,23.987036263456744,23.654498782772745,23.76534460966741,160423600,25.0,74.0,0.11,234.747,103.6316,0.0515111403246169
2015-01-08,24.80508041381836,24.862720720656704,24.097883456887462,24.215381460812253,237458000,25.0,74.0,0.11,234.747,103.2799,0.04881020601791297
2015-01-09,24.83167839050293,25.106575520855507,24.43263280501306,24.977993977600683,214798000,25.0,74.0,0.11,234.747,103.1213,0.04759221289581117
2015-01-12,24.21981811523437,24.969135448943987,24.120057527235872,24.96248496859388,198603200,25.0,74.0,0.11,234.747,103.2372,0.048482284792731756
2015-01-13,24.43485641479492,25.006821335803178,24.1444408650448,24.703103135568583,268367600,25.0,74.0,0.11,234.747,103.27,0.04873417744345643
2015-01-14,24.341745376586918,24.494711474568152,24.05354553692245,24.173259238412005,195826400,25.0,74.0,0.11,234.747,103.0903,0.047354143622260314
2015-01-15,23.68110466003418,24.39938521357673,23.645634871542,24.38608425431382,240056000,25.0,74.0,0.11,234.747,103.0829,0.0472973141827675
2015-01-16,23.49710464477539,23.849595354822647,23.321967985130645,23.727664233749223,314053200,25.0,74.0,0.11,234.747,103.2189,0.048341747124797
2015-01-20,24.10231590270996,24.15773881393165,23.610160180441635,23.907226172730866,199599600,25.0,74.0,0.11,234.747,103.5233,0.05067943379798623
2015-01-21,24.28632164001465,24.621074823456794,24.00255489901262,24.15330529304962,194303600,25.0,74.0,0.11,234.747,103.7858,0.052695342969182546
2015-01-22,24.91814422607422,24.933662575431267,24.32401047853225,24.44372418416085,215185600,25.0,74.0,0.11,234.747,103.9271,0.0537804780773351
2015-01-23,25.04672622680664,25.217428072632536,24.725272282705173,24.89597581990433,185859200,25.0,74.0,0.11,234.747,104.3676,0.057163365657952214
2015-01-26,25.073335647583008,25.352667715705067,25.00682913989836,25.215218226958772,222460000,25.0,74.0,0.11,234.747,104.4818,0.05804038214309759
2015-01-27,24.195425033569336,24.935875977808,24.17103881828353,24.92257332950568,382274800,25.0,74.0,0.11,234.747,104.1646,0.055604395898893655
2015-01-28,25.56327247619629,26.186227378641483,25.56327247619629,26.07759721471992,585908400,25.0,74.0,0.11,234.747,104.4737,0.05797817694581486
2015-01-29,26.3591423034668,26.423433096590607,25.618691178673068,25.787177336812245,337745600,25.0,74.0,0.11,234.747,105.2763,0.06414186723458526
2015-01-30,25.97339630126953,26.602999818446985,25.904670734938115,26.24829349247566,334982000,25.0,74.0,0.11,234.747,105.5884,0.0665386872434629
2015-02-02,26.29928207397461,26.41899577815114,25.73396933307641,26.17070219145008,250956400,22.0,68.0,0.11,235.342,105.2058,0.06176611531922971
2015-02-03,26.30371856689453,26.40126175743149,26.073159013253253,26.27046447611845,207662800,22.0,68.0,0.11,235.342,104.6063,0.05716216275491659
