# Author: Diyar Erol
target,model,fold,train_size,val_size,rmse,mae,r2,roc_auc,f1,accuracy
next_day_close,lightgbm,1,427,427,9.90282420862316,8.607042945208095,-2.404620409396045,,,
next_day_close,lightgbm,2,854,427,13.196303142674621,8.907450706992636,-0.47570020911528377,,,
next_day_close,lightgbm,3,1281,427,52.39656577172301,47.33057310560703,-3.9797346490379297,,,
next_day_close,lightgbm,4,1708,427,15.19732305774255,11.238630971452714,0.15370213950835587,,,
next_day_close,lightgbm,5,2135,427,30.359928434520093,22.498929751844848,-0.4683694781884453,,,
next_day_close,xgboost,1,427,427,9.86572634109889,8.579999436818465,-2.379159475315814,,,
next_day_close,xgboost,2,854,427,12.547205208885938,8.270198098390388,-0.3340975101351811,,,
next_day_close,xgboost,3,1281,427,51.4909607932028,46.43018943196996,-3.8090860358196466,,,
next_day_close,xgboost,4,1708,427,12.194121284225908,8.86630910118514,0.4551335436185048,,,
next_day_close,xgboost,5,2135,427,29.61487592647559,21.84461989391604,-0.39718429900057717,,,
next_day_return,lightgbm,1,427,427,1.608087730574997,1.2184214629339174,-0.648324083790335,,,
next_day_return,lightgbm,2,854,427,2.59323988951623,1.7601870847056127,-0.2089867611787697,,,
next_day_return,lightgbm,3,1281,427,3.748237095705268,3.250943613399503,-2.784287968894768,,,
next_day_return,lightgbm,4,1708,427,2.033312403080599,1.5314244027930597,-0.10692207332586157,,,
next_day_return,lightgbm,5,2135,427,1.8923320074856553,1.3778449383376359,-0.11748056908081805,,,
next_day_return,xgboost,1,427,427,2.43088157738288,2.1129297242551845,-2.7666106678048927,,,
next_day_return,xgboost,2,854,427,2.8030552127910253,1.878995991107938,-0.4125357984016813,,,
next_day_return,xgboost,3,1281,427,4.957115606204821,4.433965607133724,-5.618935708333687,,,
next_day_return,xgboost,4,1708,427,2.1183063876766424,1.639755072973443,-0.2013965482862059,,,
next_day_return,xgboost,5,2135,427,2.2104224610175347,1.6625964783806155,-0.5247403022259618,,,
next_week_close,lightgbm,1,427,427,10.661069737032557,9.470293055406959,-2.923717269714509,,,
next_week_close,lightgbm,2,854,427,14.50490097902748,9.909051004208266,-0.7557180775950885,,,
next_week_close,lightgbm,3,1281,427,54.97590202933313,50.4182356214189,-4.5035592627034955,,,
next_week_close,lightgbm,4,1708,427,19.927234528347316,17.354506754075572,-0.4536883190557568,,,
next_week_close,lightgbm,5,2135,427,35.609594464214084,27.622688038220055,-1.0439039961223342,,,
next_week_close,xgboost,1,427,427,10.710478336606245,9.5626962603674,-2.9601703862570243,,,
next_week_close,xgboost,2,854,427,13.290505212403696,9.166220251793604,-0.4740364549867253,,,
next_week_close,xgboost,3,1281,427,57.64697468294721,53.08528522250245,-5.051345651607604,,,
next_week_close,xgboost,4,1708,427,23.380480370012023,20.145479992904484,-1.0011705181507073,,,
next_week_close,xgboost,5,2135,427,35.41235712440631,27.548447512910293,-1.0213248156103556,,,
direction,lightgbm,1,427,427,,,,0.5061863173216885,0.2706270627062706,0.48243559718969553
direction,lightgbm,2,854,427,,,,0.46562499999999996,0.44868735083532224,0.45901639344262296
direction,lightgbm,3,1281,427,,,,0.5330144812010097,0.21739130434782608,0.49414519906323184
direction,lightgbm,4,1708,427,,,,0.5261904761904761,0.5511111111111111,0.5269320843091335
direction,lightgbm,5,2135,427,,,,0.4911803713527851,0.4116094986807388,0.477751756440281
