# Author: Diyar Erol
date,equity,position
2015-03-13,99024.58927277657,1
2015-03-16,98925.56468350379,0
2015-03-17,98017.07251588788,-1
2015-03-18,99263.9365943882,1
2015-03-19,99164.67265779381,0
2015-03-20,99164.67265779381,0
2015-03-23,99748.56940445611,1
2015-03-24,99648.82083505165,0
2015-03-25,98425.92978346837,1
2015-03-26,98354.37772166227,1
2015-03-27,99019.95542497205,-1
2015-03-30,99752.21112280838,-1
2015-03-31,99337.58723381742,1
2015-04-01,97876.90370091327,1
2015-04-02,97613.34274618218,-1
2015-04-06,97515.72940343601,0
2015-04-07,97515.72940343601,0
2015-04-08,99715.32465804975,-1
2015-04-09,98920.65944933612,-1
2015-04-10,98821.73878988679,0
2015-04-13,98821.73878988679,0
2015-04-14,100472.1794574323,1
2015-04-15,102551.2652134101,1
2015-04-16,102019.94547533065,1
2015-04-17,100328.87444516193,-1
2015-04-20,101575.14015686061,1
2015-04-21,102172.89465476367,1
2015-04-22,102070.7217601089,0
2015-04-23,102070.7217601089,0
2015-04-24,100992.19405476529,1
2015-04-27,99350.36116961579,-1
2015-04-28,99453.18585458737,1
2015-04-29,100352.45786271793,1
2015-04-30,100252.10540485522,0
2015-05-01,100252.10540485522,0
2015-05-04,100252.10540485522,0
2015-05-05,100252.10540485522,0
2015-05-06,100252.10540485522,0
2015-05-07,100146.40904572977,-1
2015-05-08,100267.3431882138,1
2015-05-11,100167.07584502558,0
2015-05-12,99660.58328399059,-1
2015-05-13,100136.73357115229,1
2015-05-14,100036.59683758114,0
2015-05-15,97733.64189749383,-1
2015-05-18,96983.47370535163,1
2015-05-19,95808.14422465274,-1
2015-05-20,96325.29577445138,1
2015-05-21,96228.97047867693,0
2015-05-22,95275.89619056205,-1
2015-05-26,96672.46539975698,1
2015-05-27,96575.79293435723,0
2015-05-28,96575.79293435723,0
2015-05-29,95563.06505201511,1
2015-06-01,94860.73851828366,-1
2015-06-02,93656.7282690986,1
2015-06-03,93563.07154082951,0
2015-06-04,92857.95613882045,1
2015-06-05,92935.51671535907,-1
2015-06-08,92797.67311850147,1
2015-06-09,92704.87544538296,0
2015-06-10,92704.87544538296,0
2015-06-11,92704.87544538296,0
2015-06-12,93212.22456593376,-1
2015-06-15,94396.03611948622,-1
2015-06-16,94774.85531284606,-1
2015-06-17,94680.08045753321,0
2015-06-18,94276.85299055542,1
2015-06-19,94811.51733398806,1
2015-06-22,94716.70581665407,0
2015-06-23,94716.70581665407,0
2015-06-24,94716.70581665407,0
2015-06-25,95016.30635438795,-1
2015-06-26,91921.55942419516,-1
2015-06-29,93162.68302997891,1
2015-06-30,94295.85308949731,1
2015-07-01,94201.55723640781,0
2015-07-02,94340.69584210102,-1
2015-07-06,94246.35514625892,0
2015-07-07,94246.35514625892,0
2015-07-08,94246.35514625892,0
2015-07-09,94246.35514625892,0
2015-07-10,95878.58597515436,-1
2015-07-13,94599.50561434592,-1
2015-07-14,93900.01650397416,1
2015-07-15,92789.47953333717,-1
2015-07-16,93403.23815851119,1
2015-07-17,93309.83492035267,0
2015-07-20,92587.31743164499,1
2015-07-21,92023.84366170637,-1
2015-07-22,91013.05804106533,1
2015-07-23,91855.08753273658,-1
2015-07-24,92296.8964148491,-1
2015-07-27,92442.23308464115,-1
2015-07-28,91479.57251092509,1
2015-07-29,91672.18606500395,-1
2015-07-30,91580.51387893895,0
2015-07-31,91580.51387893895,0
2015-08-03,90480.27580485301,1
2015-08-04,90972.16619754338,-1
2015-08-05,90233.98715445219,-1
2015-08-06,89456.8688018099,1
2015-08-07,89607.6525729482,-1
2015-08-10,88889.13962799167,1
2015-08-11,90962.97596286262,-1
2015-08-12,88199.15958634294,1
2015-08-13,88540.17130113897,-1
2015-08-14,88603.00603435565,-1
2015-08-17,89331.00428264153,1
2015-08-18,90387.9156965161,1
2015-08-19,90639.06798382953,1
2015-08-20,89540.2938309133,1
2015-08-21,88384.7282081038,-1
2015-08-24,88014.19284819652,1
2015-08-25,88575.05823278755,1
2015-08-26,87197.01934789689,-1
2015-08-27,88302.6620576384,1
2015-08-28,84694.84618949366,1
2015-08-31,84076.61539174181,-1
2015-09-01,83211.98622761511,1
2015-09-02,83599.68900603964,-1
2015-09-03,81826.31427653322,-1
2015-09-04,80800.36518329299,1
2015-09-08,81320.62743007999,-1
2015-09-09,81889.76552990728,-1
2015-09-10,81496.90887840808,-1
2015-09-11,80935.99302200682,1
2015-09-14,80410.48430827139,-1
2015-09-15,80330.07382396312,0
2015-09-16,79588.77872058637,-1
2015-09-17,78544.81916003863,1
2015-09-18,74995.82906177208,-1
2015-09-21,75491.51151114349,1
2015-09-22,75416.01999963234,0
2015-09-23,76707.81849382722,-1
2015-09-24,77332.78556952547,-1
2015-09-25,77255.45278395595,0
2015-09-28,78042.55068784617,-1
2015-09-29,77645.2416701105,-1
2015-09-30,77985.24354776787,1
2015-10-01,77907.2583042201,0
2015-10-02,77907.2583042201,0
2015-10-05,77481.41438778306,1
2015-10-06,75408.13431627292,-1
2015-10-07,73882.30699712633,1
2015-10-08,74180.42882627655,-1
2015-10-09,72546.08864440466,-1
2015-10-12,76731.74915274508,1
2015-10-13,76032.9740459923,1
2015-10-14,75592.7618336701,-1
2015-10-15,75451.86030464768,-1
2015-10-16,75376.40844434303,0
2015-10-19,74707.33173944056,1
2015-10-20,73242.30426104757,-1
2015-10-21,73547.0649569914,1
2015-10-22,73473.5178920344,0
2015-10-23,73372.94914286846,1
2015-10-26,73299.57619372559,0
2015-10-27,73299.57619372559,0
2015-10-28,73299.57619372559,0
2015-10-29,73299.57619372559,0
2015-10-30,73299.57619372559,0
2015-11-02,71939.508281927,-1
2015-11-03,71799.4145412303,1
2015-11-04,71727.61512668907,0
2015-11-05,71727.61512668907,0
2015-11-06,71727.61512668907,0
2015-11-09,71727.61512668907,0
2015-11-10,71727.61512668907,0
2015-11-11,71727.61512668907,0
2015-11-12,71727.61512668907,0
2015-11-13,71727.61512668907,0
2015-11-16,70213.48417867198,1
2015-11-17,70143.2706944933,0
2015-11-18,70143.2706944933,0
2015-11-19,70143.2706944933,0
2015-11-20,70143.2706944933,0
2015-11-23,70143.2706944933,0
2015-11-24,70143.2706944933,0
2015-11-25,70143.2706944933,0
2015-11-27,70143.2706944933,0
2015-11-30,70143.2706944933,0
2015-12-01,70143.2706944933,0
2015-12-02,70143.2706944933,0
2015-12-03,70282.01226473496,1
2015-12-04,70211.73025247022,0
2015-12-07,70211.73025247022,0
2015-12-08,70211.73025247022,0
2015-12-09,70211.73025247022,0
2015-12-10,70211.73025247022,0
2015-12-11,70211.73025247022,0
2015-12-14,70211.73025247022,0
2015-12-15,70211.73025247022,0
2015-12-16,71698.42431862434,-1
2015-12-17,71626.72589430571,0
2015-12-18,72680.3444446199,1
2015-12-21,72607.66410017527,0
2015-12-22,72607.66410017527,0
2015-12-23,72607.66410017527,0
2015-12-24,72607.66410017527,0
2015-12-28,72349.38693525146,1
2015-12-29,72277.0375483162,0
2015-12-30,72277.0375483162,0
2015-12-31,72277.0375483162,0
2016-01-04,71976.59426433708,-1
2016-01-05,71904.61767007274,0
2016-01-06,71904.61767007274,0
2016-01-07,71904.61767007274,0
2016-01-08,71904.61767007274,0
2016-01-11,71267.85967684987,-1
2016-01-12,67699.42572490321,1
2016-01-13,68222.65005241291,-1
2016-01-14,68937.16331964683,1
2016-01-15,68868.22615632719,0
2016-01-19,68868.22615632719,0
2016-01-20,68868.22615632719,0
2016-01-21,68868.22615632719,0
2016-01-22,68868.22615632719,0
2016-01-25,68868.22615632719,0
2016-01-26,68323.71030165236,-1
2016-01-27,68255.3865913507,0
2016-01-28,68255.3865913507,0
2016-01-29,68255.3865913507,0
2016-02-01,68255.3865913507,0
2016-02-02,68255.3865913507,0
2016-02-03,68255.3865913507,0
2016-02-04,68255.3865913507,0
2016-02-05,68255.3865913507,0
2016-02-08,67126.37374870111,-1
2016-02-09,66761.80597331394,1
2016-02-10,66695.04416734063,0
2016-02-11,67135.33294749155,-1
2016-02-12,67068.19761454406,0
2016-02-16,67068.19761454406,0
2016-02-17,66906.78185921212,-1
2016-02-18,66531.15950594221,1
2016-02-19,66464.62834643626,0
2016-02-22,66464.62834643626,0
2016-02-23,66464.62834643626,0
2016-02-24,66464.62834643626,0
2016-02-25,66464.62834643626,0
2016-02-26,66464.62834643626,0
2016-02-29,68790.31963422186,1
2016-03-01,68721.52931458763,0
2016-03-02,68064.14911578097,1
2016-03-03,67658.08304240911,-1
2016-03-04,67590.4249593667,0
2016-03-07,67590.4249593667,0
2016-03-08,67590.4249593667,0
2016-03-09,67590.4249593667,0
2016-03-10,67590.4249593667,0
2016-03-11,67625.21452633222,1
2016-03-14,67557.58931180589,0
2016-03-15,67084.86984986444,-1
2016-03-16,67017.78498001458,0
2016-03-17,67017.78498001458,0
2016-03-18,67017.78498001458,0
2016-03-21,67017.78498001458,0
2016-03-22,67017.78498001458,0
2016-03-23,65781.51516398786,-1
2016-03-24,66373.7170504593,1
2016-03-28,66307.34333340883,0
2016-03-29,66307.34333340883,0
2016-03-30,65362.33294032549,-1
2016-03-31,65642.426656235,1
2016-04-01,65682.88984324715,-1
2016-04-04,65617.2069534039,0
2016-04-05,65617.2069534039,0
2016-04-06,65617.2069534039,0
2016-04-07,65617.2069534039,0
2016-04-08,65617.2069534039,0
