# Author: Diyar Erol
feature,importance
high,142607091.32433134
close,25345414.746622622
low,12132856.656959355
open,7932700.996630549
close_AAPL,6704186.043169737
close_XLK,3558941.7365103364
close_lag_7,2810086.613279462
close_lag_1,1200089.0511596203
bb_lower_20,297727.0986303687
close_lag_2,189538.98727077246
close_MSFT,174780.79287481308
close_AMZN,115271.4917679429
rolling_min_30d,106247.32972049713
rolling_max_30d,91807.1940536499
fed_rate,62069.10145401955
us_cpi,60794.970095038414
macro_sentiment_index,53675.3780426383
rel_AAPL_IXIC,44667.721296042204
bb_upper_20,33040.64827954769
close_GOOGL,24354.767224639654
close_IXIC,24320.849946558475
oil,19134.65366202593
vwap_20,16427.29581719637
gold,15798.3064417243
daily_return,12754.573892652988
bb_mid_20,10522.791213393211
macd_hist,9894.13346618414
usd_index,8848.87661421299
rsi_14,8519.758392244577
return_lag_7,8295.856064140797
rel_AAPL_MSFT,8101.870600879192
atr_14,7382.549877464771
return_lag_1,7072.080915778875
vix,6985.185691893101
macd_signal,6568.203969538212
volume_lag_1,6523.458790510893
macbook,6372.623459279537
volume,6181.43487238884
days_to_earnings,6178.988349080086
macd,5909.600881636143
days_to_product_launch,5480.023765981197
obv,4761.895062476397
tnote_10y,4623.833567649126
days_since_earnings,3709.964946448803
unemployment,3618.9273255467415
apple iphone,3431.879898816347
dow,2097.1785661280155
month,1576.220376431942
event_hype_score,1216.3301023244858
is_month_end,116.22864085435867
is_apple_event,40.81516593694687
is_product_launch,7.7441229820251465
year,5.749949932098389
is_quarter_end,0.0
quarter,0.0
is_earnings_day,0.0
revenue_surprise,0.0
earnings_surprise_pct,0.0
earnings_surprise,0.0
is_wwdc,0.0
