# GitHub: https://github.com/DiyarErol/Apple_Financial_and_Social_Analysis_Dataset
# Author: Diyar Erol
feature,mean_abs_shap
close_AMZN,0.15955152065493575
bb_upper_20,0.10091051621649635
daily_return,0.10067594475216234
rsi_divergence,0.09568412690497685
macd,0.09165815512406195
macd_crossover_days_ago,0.0831097447092444
return_lag_7,0.07952731202343426
rsi_14,0.0735940940239309
return_lag_1,0.06128088076951873
tnote_10y,0.05657591144869529
rel_AAPL_MSFT,0.05612776881431147
volume_ratio,0.05434333953365595
days_to_product_launch,0.05280447000976118
close,0.05199931929731252
macd_signal,0.0514856498444781
trend_delta_x_daily_return,0.05129296897698696
close_lag_7,0.04560100799075614
usd_index,0.04321166152436359
macro_sentiment_index,0.04309234786010781
vix_x_gold,0.04217629538007132
dow,0.041768989084070784
oil,0.041429239349285614
atr_14,0.041422738004662285
days_since_earnings,0.04102932243891693
vix,0.038957443853489884
rsi_x_macd,0.03774343899686488
volume_x_volatility,0.03407536960270797
apple iphone,0.03350931351408655
macd_hist,0.03227006916499462
close_MSFT,0.03162666817517852
close_GOOGL,0.03153700676169621
obv,0.031222980148383844
fed_rate_x_vix,0.030930526155638283
volume_lag_1,0.029102009760953212
gold,0.026304776598556737
days_to_earnings,0.02618749418173972
bb_lower_20,0.022486555215750836
unemployment,0.02093126352993545
close_XLK,0.019570156232550494
volume,0.01921451951989725
us_cpi,0.01797625260455364
event_hype_score,0.016101448031061318
macbook,0.013357834793255873
volume_ma_20,0.012827225194949847
month,0.012002726240773164
rel_AAPL_IXIC,0.010234351627065728
is_month_end,0.010077389057373208
close_lag_1,0.009042890385599946
close_IXIC,0.00878526196368872
open,0.0058581793135880165
high,0.0035965061382226666
fed_rate,0.0032363736971039556
vwap_20,0.0032125664742946097
rolling_min_30d,0.0030302145030216138
close_lag_2,0.002591020359816824
macd_crossover,0.0021925064682642853
low,0.0016435014336502875
rolling_max_30d,0.0013698564920449883
bb_mid_20,0.0007521577791368677
volume_spike,0.0006012792459476297
negative_news_ratio,0.0
is_rsi_overbought,0.0
is_rsi_oversold,0.0
is_quarter_end,0.0
positive_news_ratio,0.0
news_count,0.0
news_sentiment_score,0.0
is_apple_event,0.0
is_wwdc,0.0
is_product_launch,0.0
revenue_surprise,0.0
earnings_surprise_pct,0.0
earnings_surprise,0.0
is_earnings_day,0.0
year,0.0
quarter,0.0
close_AAPL,0.0
volatility_regime,0.0
